Size of Dataset, 20000
Epsilon, 1.0
MinPoints, 5
InfoGain, 0.9994406176956876
Number of Clusters, 315
Distance Metric, Euclidean
Number of Buzz, 486.0
Percent Buzz, 0.0243
Number of NonBuzz, 19514.0
Percent NonBuzz, 0.9757
Parent Entropy, 0.16494651525786994
Weighted Entropy, 5.593823043123583E-4
Elapsed Time, 252
List of Clusters, Entropy, Average Core Distance, Size of Cluster
0, 0.0, 0.022223884959878818, 1009
1, 0.0, 0.033730678904747124, 706
2, 0.0, 0.0, 1518
3, 0.0, 0.21631187731530552, 54
4, 0.0, 0.0010586139778837077, 1859
5, 0.0, 0.06229866233906563, 236
6, 0.0, 0.11218656689098605, 326
7, 0.0, 0.07080930590513199, 169
8, 0.0, 0.0059351003940113535, 688
9, 0.0, 0.10409488125609997, 1110
10, 0.0, 0.009391365087390025, 107
11, 0.0, 0.03150874337884878, 418
12, 0.0, 0.020844210674051632, 84
13, 0.0, 0.20203030688092322, 5
14, 0.0, 0.001660015128239597, 142
15, 0.0, 0.12194486787651546, 52
16, 0.0, 0.1084453133451992, 114
17, 0.0, 0.25137388860394044, 22
18, 0.0, 0.01771238590971754, 461
19, 0.0, 6.640079682231079E-4, 251
20, 0.0, 0.011512621780896843, 244
21, 0.0, 0.08226936495841038, 31
22, 0.0, 0.2504746923499319, 9
23, 0.0, 0.035087768919774116, 57
24, 0.0, 0.017331057550535565, 170
25, 0.0, 0.04053003189043349, 94
26, 0.0, 0.022784026887812052, 138
27, 0.0, 8.396244888707046E-6, 20
28, 0.0, 0.060342449538875916, 113
29, 0.0, 0.04222087546803939, 165
30, 0.0, 3.9721165097717283E-7, 97
31, 0.0, 0.0, 109
32, 0.0, 0.06667187794462931, 15
33, 0.0, 0.7559223176554563, 6
34, 0.0, 0.053495646826221224, 5
35, 0.0, 0.04861054234918561, 23
36, 0.0, 0.039244127801442125, 87
37, 0.0, 0.03571569195116324, 56
38, 0.0, 0.1250008003905297, 8
39, 0.0, 0.2026781870575824, 62
40, 0.0, 0.002322601632119454, 87
41, 0.0, 0.14285714285714285, 7
42, 0.0, 1.0, 6
43, 0.0, 0.14285969836340287, 7
44, 0.08728058888363333, 0.025732280943134993, 91
45, 0.0, 0.021209915010836123, 119
46, 0.0, 0.00832016722205005, 17
47, 0.0, 0.05593836376822187, 90
48, 0.0, 9.298267133467617E-6, 5
49, 0.0, 3.9513096706699146E-5, 6
50, 0.0, 2.757329655582462E-6, 56
51, 0.0, 0.1134687948876795, 47
52, 0.0, 0.0, 41
53, 0.0, 9.095498702527608E-7, 48
54, 0.0, 0.19092404304445795, 16
55, 0.0, 0.03273967262816502, 45
56, 0.8112781244591328, 4.944698376705619E-6, 4
57, 0.0, 1.512881420535639E-7, 56
58, 0.0, 0.3063942249332022, 7
59, 0.0, 4.934010432594689E-7, 26
60, 0.0, 1.2388105642061243E-6, 29
61, 0.0, 0.16115278219143256, 46
62, 0.0, 1.6513878188659972E-6, 4
63, 0.0, 0.1439424363886846, 10
64, 0.0, 0.10420473711871307, 20
65, 0.0, 6.5063084618114906E-6, 10
66, 0.0, 0.020833333333333332, 48
67, 0.0, 0.18098004522874891, 5
68, 0.0, 1.2993240527334103E-5, 4
69, 0.0, 1.3601470508735445E-5, 5
70, 0.0, 3.3001783529752297E-6, 45
71, 0.0, 0.20000769596082035, 5
72, 0.0, 1.775441250800963E-6, 23
73, 0.0, 1.06664106927785E-5, 17
74, 0.0, 2.1888543819998325E-6, 5
75, 0.0, 3.6749062332594977E-6, 7
76, 0.0, 0.008070024375142044, 8
77, 0.0, 1.5080062472462634E-5, 11
78, 0.0, 0.04658639529377945, 4
79, 0.0, 0.05892994473518952, 4
80, 0.0, 1.063014581273465E-5, 2
81, 0.0, 1.4985794896796443E-5, 2
82, 0.0, 0.03201653358025128, 25
83, 0.0, 0.02635231910525144, 20
84, 0.0, 0.12856474175358742, 6
85, 0.0, 3.58450035409097E-6, 20
86, 0.0, 0.022727272727272728, 11
87, 0.0, 2.2497927328509E-5, 12
88, 0.0, 2.879370946365199E-6, 11
89, 0.0, 0.0030644618057642445, 14
90, 0.0, 0.11180698123444825, 4
91, 0.0, 0.03301327531107755, 62
92, 0.0, 3.7304951684997036E-6, 5
93, 0.0, 0.0, 8
94, 0.0, 1.0, 3
95, 0.0, 1.8262995220270316E-5, 6
96, 0.0, 0.021465054470570927, 6
97, 0.0, 1.132117292043397E-5, 6
98, 0.0, 0.1571346831511108, 2
99, 0.0, 0.0, 9
