Size of Dataset, 4000
Epsilon, 1.0
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 73
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 8
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 0.01444631451024894, 388, 0.0, 388.0
1, 0.0, 0.0, 284, 0.0, 284.0
2, 0.0, 0.001736159722472223, 144, 0.0, 144.0
3, 0.0, 0.04819364236728233, 34, 0.0, 34.0
4, 0.0, 0.054663200189914066, 197, 0.0, 197.0
5, 0.0, 0.040728187079178066, 125, 0.0, 125.0
6, 0.0, 0.060524633441509795, 90, 0.0, 90.0
7, 0.0, 0.06806908403139028, 51, 0.0, 51.0
8, 0.0, 0.1136375207201874, 11, 0.0, 11.0
9, 0.0, 5.746309619374566E-6, 26, 0.0, 26.0
10, 0.0, 0.019615800230919234, 57, 0.0, 57.0
11, 0.0, 0.0, 63, 0.0, 63.0
12, 0.0, 3.3846273440073583E-7, 24, 0.0, 24.0
13, 0.0, 0.11111334717908855, 9, 0.0, 9.0
14, 0.0, 0.43273308453746184, 8, 0.0, 8.0
15, 0.0, 0.5000005, 8, 0.0, 8.0
16, 0.0, 0.06104655730475375, 69, 0.0, 69.0
17, 0.0, 0.049672697375783295, 34, 0.0, 34.0
18, 0.0, 7.157086335158409E-6, 20, 0.0, 20.0
19, 0.0, 0.2098806201056974, 12, 0.0, 12.0
20, 0.0, 0.125003007199944, 8, 0.0, 8.0
21, 0.0, 5.909090909090911E-7, 22, 0.0, 22.0
22, 0.0, 1.931735980365178E-5, 6, 0.0, 6.0
23, 0.0, 0.017561785892328794, 14, 0.0, 14.0
24, 0.0, 0.009305412836066215, 19, 0.0, 19.0
25, 0.0, 3.5971222404232035E-6, 6, 0.0, 6.0
26, 0.0, 1.0, 5, 0.0, 5.0
27, 0.0, 0.37712338093056497, 2, 0.0, 2.0
28, 0.0, 0.21905206994342438, 24, 0.0, 24.0
29, 0.0, 0.08225407661867257, 27, 0.0, 27.0
30, 0.0, 0.07692681350216704, 13, 0.0, 13.0
31, 0.0, 0.333334276142375, 3, 0.0, 3.0
32, 0.0, 0.0, 4, 0.0, 4.0
33, 0.0, 0.0, 11, 0.0, 11.0
34, 0.0, 2.6948103366452462E-5, 5, 0.0, 5.0
35, 0.0, 1.4142135623730956E-6, 1, 0.0, 1.0
36, 0.0, 2.622975198209166E-6, 4, 0.0, 4.0
37, 0.0, 0.03448286206896551, 29, 0.0, 29.0
38, 0.0, 1.0, 2, 0.0, 2.0
39, 0.0, 0.09090927272727271, 11, 0.0, 11.0
40, 0.0, 7.807173420155941E-6, 7, 0.0, 7.0
41, 0.0, 0.0, 2, 0.0, 2.0
42, 0.0, 5.149162862899171E-6, 2, 0.0, 2.0
43, 0.0, 3.5988970917787796E-6, 3, 0.0, 3.0
44, 0.0, 0.2857153722216107, 7, 0.0, 7.0
45, 0.0, 0.0, 3, 0.0, 3.0
46, 0.0, 0.0, 2, 0.0, 2.0
47, 0.0, 0.2857326384169068, 7, 0.0, 7.0
48, 0.0, 0.03726850673215036, 6, 0.0, 6.0
49, 0.0, 0.0, 4, 0.0, 4.0
50, 0.0, 2.6400757564888172E-5, 1, 0.0, 1.0
51, 0.0, 3.2056756184441984E-6, 4, 0.0, 4.0
52, 0.0, 1.8788294228055938E-5, 1, 0.0, 1.0
53, 0.0, 0.0, 1, 0.0, 1.0
54, 0.0, 1.16619037896906E-6, 5, 0.0, 5.0
55, 0.0, 0.47140404938651104, 1, 0.0, 1.0
56, 0.0, 5.385164807134503E-6, 1, 0.0, 1.0
57, 0.0, 0.0, 3, 0.0, 3.0
58, 0.0, 2.7313000567495325E-5, 1, 0.0, 1.0
59, 0.0, 1.4142135623730958E-6, 1, 0.0, 1.0
60, 0.0, 9.999999999999997E-7, 2, 0.0, 2.0
61, 0.0, 0.5000015811388301, 2, 0.0, 2.0
62, 0.0, 1.0, 3, 0.0, 3.0
63, 0.0, 0.0, 1, 0.0, 1.0
64, 0.0, 3.6055512754639888E-6, 1, 0.0, 1.0
65, 0.0, 5.385164807134503E-6, 1, 0.0, 1.0
66, 0.0, 0.0, 1, 0.0, 1.0
67, 0.0, 1.4142135623730952E-6, 1, 0.0, 1.0
68, 0.0, 9.999999999999997E-7, 3, 0.0, 3.0
69, 0.0, 1.0, 1, 0.0, 1.0
70, 0.0, 1.0, 1, 0.0, 1.0
71, 0.0, 2.2825424421026653E-5, 1, 0.0, 1.0
72, 0.0, 0.0, 1, 0.0, 1.0
