Size of Dataset, 8000
Epsilon, 0.5
MinPoints, 5
InfoGain, 0.9989278602105082
Number of Clusters, 178
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.797
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0010721397894918236
Elapsed Time, 25
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.060830626354146024, 0.0011820921985815603, 141, 1.0, 140.0
1, 0.0, 0.004301161290322577, 93, 0.0, 93.0
2, 0.0, 4.2857142857142857E-7, 7, 0.0, 7.0
3, 0.0, 3.703703703703703E-8, 54, 0.0, 54.0
4, 0.0, 1.82E-5, 5, 0.0, 5.0
5, 0.0, 3.9772727272727275E-8, 176, 0.0, 176.0
6, 0.0, 1.3333333333333334E-6, 21, 0.0, 21.0
7, 0.0, 0.0011305, 516, 0.0, 516.0
8, 0.0, 0.01307211764705882, 17, 0.0, 17.0
9, 0.0, 3.333333333333334E-7, 30, 0.0, 30.0
10, 0.0, 0.0011111333333333328, 225, 0.0, 225.0
11, 0.0, 0.0, 552, 0.0, 552.0
12, 0.0, 0.25839950000000006, 6, 0.0, 6.0
13, 0.0, 0.0020964654088050315, 159, 0.0, 159.0
14, 0.0, 0.005130433333333339, 30, 0.0, 30.0
15, 0.0, 3.508771929824561E-8, 57, 0.0, 57.0
16, 0.0, 0.002976232142857143, 56, 0.0, 56.0
17, 0.0, 8.45070422535211E-8, 71, 0.0, 71.0
18, 0.0, 1.5652173913043478E-6, 23, 0.0, 23.0
19, 0.0, 9.333333333333328E-8, 75, 0.0, 75.0
20, 0.0, 0.01787614285714285, 7, 0.0, 7.0
21, 0.0, 4.545454545454545E-6, 11, 0.0, 11.0
22, 0.0, 2.5799999999999997E-5, 5, 0.0, 5.0
23, 0.0, 1.0810810810810812E-7, 37, 0.0, 37.0
24, 0.0, 0.1291872, 5, 0.0, 5.0
25, 0.0, 0.008549666666666676, 18, 0.0, 18.0
26, 0.0, 0.0476195, 6, 0.0, 6.0
27, 0.0, 0.004310931034482759, 29, 0.0, 29.0
28, 0.0, 2.368421052631579E-7, 38, 0.0, 38.0
29, 0.0, 2.7272727272727272E-6, 11, 0.0, 11.0
30, 0.0, 0.20454799999999987, 6, 0.0, 6.0
31, 0.0, 6.774193548387098E-7, 31, 0.0, 31.0
32, 0.0, 0.007872875000000017, 8, 0.0, 8.0
33, 0.0, 2.2222222222222214E-7, 27, 0.0, 27.0
34, 0.0, 1.833333333333333E-6, 6, 0.0, 6.0
35, 0.0, 4.666666666666668E-7, 15, 0.0, 15.0
36, 0.0, 0.005208729166666665, 48, 0.0, 48.0
37, 0.0, 0.009574636363636367, 11, 0.0, 11.0
38, 0.0, 3.272727272727273E-6, 11, 0.0, 11.0
39, 0.0, 3.3333333333333325E-7, 6, 0.0, 6.0
40, 0.0, 0.0, 21, 0.0, 21.0
41, 0.0, 8.947368421052631E-7, 19, 0.0, 19.0
42, 0.0, 1.2499999999999999E-6, 12, 0.0, 12.0
43, 0.0, 1.5384615384615385E-7, 13, 0.0, 13.0
44, 0.0, 3.999999999999999E-6, 1, 0.0, 1.0
45, 0.0, 1.9999999999999994E-7, 10, 0.0, 10.0
46, 0.0, 4.000000000000001E-6, 6, 0.0, 6.0
47, 0.0, 9.166666666666666E-7, 12, 0.0, 12.0
48, 0.0, 5.0E-6, 6, 0.0, 6.0
49, 0.0, 2.857142857142857E-7, 7, 0.0, 7.0
50, 0.0, 1.9333333333333336E-6, 15, 0.0, 15.0
51, 0.0, 5.999999999999999E-7, 15, 0.0, 15.0
52, 0.0, 0.020833833333333333, 12, 0.0, 12.0
53, 0.0, 1.8571428571428575E-6, 7, 0.0, 7.0
54, 0.0, 2.0000000000000003E-6, 5, 0.0, 5.0
55, 0.0, 3.8095238095238085E-7, 21, 0.0, 21.0
56, 0.0, 3.2E-6, 10, 0.0, 10.0
57, 0.0, 0.0, 5, 0.0, 5.0
58, 0.0, 5.2631578947368416E-8, 19, 0.0, 19.0
59, 0.0, 3.54E-5, 5, 0.0, 5.0
60, 0.0, 0.05195399999999998, 8, 0.0, 8.0
61, 0.0, 0.1818179999999998, 2, 0.0, 2.0
62, 0.0, 9.333333333333334E-6, 6, 0.0, 6.0
63, 0.0, 0.046714000000000006, 8, 0.0, 8.0
64, 0.0, 2.3333333333333336E-6, 9, 0.0, 9.0
65, 0.0, 0.032411666666666644, 9, 0.0, 9.0
66, 0.0, 1.3333333333333336E-6, 9, 0.0, 9.0
67, 0.0, 2.7272727272727272E-6, 11, 0.0, 11.0
68, 0.0, 0.030868555555555535, 9, 0.0, 9.0
69, 0.0, 1.2857142857142856E-6, 7, 0.0, 7.0
70, 0.0, 4.82E-5, 5, 0.0, 5.0
71, 0.0, 0.0090939090909091, 11, 0.0, 11.0
72, 0.0, 5.000000000000001E-7, 4, 0.0, 4.0
73, 0.0, 4.4E-6, 5, 0.0, 5.0
74, 0.0, 2.3571428571428565E-6, 14, 0.0, 14.0
75, 0.0, 9.999999999999997E-7, 3, 0.0, 3.0
76, 0.0, 0.04762142857142854, 7, 0.0, 7.0
77, 0.0, 0.17384560000000002, 5, 0.0, 5.0
78, 0.0, 0.022866733333333326, 15, 0.0, 15.0
79, 0.0, 0.04935163636363637, 11, 0.0, 11.0
80, 0.0, 2.5555555555555553E-6, 9, 0.0, 9.0
81, 0.0, 1.0000000000000006E-6, 2, 0.0, 2.0
82, 0.0, 9.600000000000001E-7, 25, 0.0, 25.0
83, 0.0, 3.26E-5, 5, 0.0, 5.0
84, 0.0, 0.035714642857142855, 14, 0.0, 14.0
85, 0.0, 4.0E-6, 1, 0.0, 1.0
86, 0.0, 0.1998487142857142, 14, 0.0, 14.0
87, 0.0, 1.5000000000000005E-6, 4, 0.0, 4.0
88, 0.0, 0.0, 6, 0.0, 6.0
89, 0.0, 1.541666666666666E-6, 24, 0.0, 24.0
90, 0.0, 3.38E-5, 5, 0.0, 5.0
91, 0.0, 4.5E-6, 2, 0.0, 2.0
92, 0.0, 2.4999999999999994E-7, 4, 0.0, 4.0
