Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 8, 3.957192913232044E9, 2.0417686144862336E18, 5.1596388128033304E8, 0.7787441788770788, 0.22125582112292114, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 16, 2.0017209028318508E9, 3.0732662454532192E17, 1.5353120612895855E8, 0.8439491777972336, 0.15605082220276642, 
 
Manhattan,Entropy, Weighted Entropy
0, 0.05820921128345145, 0.006490327058104837
1, 0.8578046582670962, 0.20019016212308358
2, 0.12367008495121179, 0.010975720039420045
3, 0.0032201696360429637, 0.00168414871965047
4, 0.0, 0.0
5, 0.10215803640865039, 0.0019154631826621947
6, 0.0, 0.0
7, 0.0, 0.0
Manhattan,Entropy, Weighted Entropy
0, 0.34573616654594347, 0.06080634829126781
1, 0.030919398857212517, 0.0012174513300027428
2, 0.0, 0.0
3, 0.0051821931710682185, 0.0015876944327860255
4, 0.0, 0.0
5, 0.24143251934299947, 0.012886460719932597
6, 0.0, 0.0
7, 0.9816732326995949, 0.07792031284553035
8, 0.0, 0.0
9, 0.0, 0.0
10, 0.0, 0.0
11, 0.0, 0.0
12, 0.0, 0.0
13, 0.2974722489192897, 7.064965911833131E-4
14, 0.11759466565886476, 9.2605799206356E-4
15, 0.0, 0.0
