Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 8, 2.6350664890600803E10, 2.2052277816485313E21, 8.368774718983008E10, 0.8903892158680927, 0.10961078413190732, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 16, 3.2115554941703846E10, 2.5874497336144852E20, 8.056686980222587E9, 0.8922724884035265, 0.10772751159647348, 
 
Manhattan,Entropy, Weighted Entropy
0, 0.0, 0.0
1, 0.0865797228428466, 0.04217125140229372
2, 0.004299231728815524, 5.202070391866784E-4
3, 0.0, 0.0
4, 0.5868460870706071, 0.010821441845581996
5, 0.823887585554709, 0.010661105357077934
6, 0.46215603333646665, 0.03230470673021902
7, 0.999396632994519, 0.01313207175754798
Manhattan,Entropy, Weighted Entropy
0, 0.002894628351916227, 2.7290556101866186E-4
1, 0.007566306734423636, 2.4166783709749095E-4
2, 0.008392121408395644, 0.0011913455551358456
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.0, 0.0
6, 0.09674015037632956, 0.023122830742950292
7, 0.0017431061071557753, 2.8921616529928627E-4
8, 0.8769364840422917, 0.03679625487041456
9, 0.6168402727180935, 0.009203256868953954
10, 0.4993926783740487, 0.003455797334348417
11, 0.47660946683660305, 0.00828347253362016
12, 0.36830813604854695, 0.0033368717125998354
13, 0.2274690586463391, 0.0014830982623741309
14, 0.3563196813417574, 0.007924549713040685
15, 0.279793365012002, 0.012126244439620166
